,countries,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious_critical,tot_cases/1M pop
0,China,"81,008",+41,"3,255",+7,"71,740","6,013","1,927",56
1,Italy,"47,021","+5,986","4,032",+627,"5,129","37,860","2,655",778
2,Spain,"21,510","+3,433","1,093",+262,"1,588","18,829",939,460
3,Germany,"19,848","+4,528",68,+24,180,"19,600",2,237
4,Iran,"19,644","+1,237","1,433",+149,"6,745","11,466",,234
5,USA,"19,469","+5,680",258,+51,147,"19,064",64,59
6,France,"12,612","+1,617",450,+78,"1,587","10,575","1,297",193
7,S. Korea,"8,652",+87,94,+3,"2,233","6,325",59,169
8,Switzerland,"5,615","+1,393",56,+13,15,"5,544",,649
9,UK,"3,983",+714,177,+33,65,"3,741",20,59
10,Netherlands,"2,994",+534,106,+30,2,"2,886",210,175
11,Austria,"2,649",+470,6,,9,"2,634",14,294
12,Belgium,"2,257",+462,37,+16,204,"2,016",164,195
13,Norway,"1,957",+167,7,,1,"1,949",27,361
14,Sweden,"1,639",+200,16,+5,16,"1,607",21,162
15,Denmark,"1,255",+104,9,+3,1,"1,245",37,217
16,Canada,"1,077",+204,12,,14,"1,051",1,29
17,Malaysia,"1,030",+130,3,+1,87,940,26,32
18,Portugal,"1,020",+234,6,+2,5,"1,009",26,100
19,Brazil,970,+330,11,+4,2,957,18,5
20,Japan,963,+20,33,,215,715,50,8
21,Australia,928,+172,7,,46,875,2,36
22,Czechia,833,+139,,,4,829,6,78
23,Diamond Princess,712,,8,+1,527,177,14,
24,Israel,705,+28,1,+1,15,689,10,81
25,Ireland,683,+126,3,,5,675,6,138
26,Turkey,670,+311,9,+5,,661,,8
27,Pakistan,501,+47,3,+1,13,485,,2
28,Greece,495,+31,10,+4,19,466,20,47
29,Luxembourg,484,+149,5,+1,6,473,1,773
30,Qatar,470,+10,,,10,460,6,163
31,Finland,450,+50,,,10,440,2,81
32,Chile,434,+92,,,6,428,7,23
33,Ecuador,426,+166,7,+4,3,416,2,24
34,Poland,425,+70,5,,13,407,3,11
35,Iceland,409,+79,,,5,404,1,"1,199"
36,Singapore,385,+40,,,131,254,14,66
37,Indonesia,369,+60,32,+7,17,320,,1
38,Saudi Arabia,344,+70,,,8,336,,10
39,Slovenia,341,+22,1,,,340,9,164
40,Thailand,322,+50,1,,42,279,1,5
41,Romania,308,+31,,,31,277,11,16
42,Bahrain,298,+19,1,,125,172,4,175
43,Egypt,285,+29,8,+1,42,235,,3
44,Estonia,283,+16,,,1,282,1,213
45,Peru,263,+29,4,+3,1,258,5,8
46,Hong Kong,256,+48,4,,98,154,4,34
47,Russia,253,+54,1,,12,240,,2
48,India,249,+55,5,+1,23,221,,0.2
49,Philippines,230,+13,18,+1,8,204,1,2
50,Iraq,208,+16,17,+4,49,142,,5
51,South Africa,202,+52,,,,202,,3
52,Panama,200,+63,1,,1,198,7,46
53,Lebanon,177,+20,4,,4,169,3,26
54,Mexico,164,+46,1,,4,159,1,1
55,Kuwait,159,+11,,,22,137,5,37
56,Argentina,158,+30,3,,3,152,,3
57,Colombia,145,+37,,,1,144,,3
58,San Marino,144,,14,,4,126,12,"4,244"
59,UAE,140,,2,+2,31,107,2,14
60,Slovakia,137,+13,,,,137,2,25
61,Armenia,136,+14,,,1,135,2,46
62,Taiwan,135,+27,2,+1,28,105,,6
63,Serbia,135,+32,1,+1,2,132,4,15
64,Croatia,130,+20,1,,5,124,,32
65,Bulgaria,127,+20,3,,1,123,,18
66,Costa Rica,113,+26,2,+1,2,109,2,22
67,Latvia,111,+25,,,1,110,,59
68,Uruguay,110,+31,,,,110,,32
69,Algeria,94,+4,11,+2,32,51,,2
70,Vietnam,91,+6,,,17,74,,0.9
71,Bosnia and Herzegovina,89,+25,,,2,87,1,27
72,Morocco,86,+23,3,+1,2,81,1,2
73,Hungary,85,+12,4,+3,7,74,6,9
74,Jordan,85,+16,,,1,84,,8
75,Faeroe Islands,80,+8,,,3,77,,"1,637"
76,Brunei ,78,+5,,,1,77,2,178
77,North Macedonia,76,+26,,,1,75,1,36
78,Andorra,75,+1,,,1,74,2,971
79,Cyprus,75,+8,,,,75,1,62
80,Sri Lanka,73,+13,,,3,70,,3
81,Dominican Republic,72,+38,2,,,70,,7
82,Albania,70,+6,2,,2,66,2,24
83,Belarus,69,+18,,,15,54,,7
84,Moldova,66,+17,1,,1,64,3,16
85,Venezuela,65,+23,,,1,64,,2
86,Malta,64,+11,,,2,62,1,145
87,Lithuania,63,+15,,,1,62,1,23
88,Tunisia,54,+15,1,,1,52,7,5
89,New Zealand,53,+25,,,,53,,11
90,Kazakhstan,52,+8,,,,52,,3
91,Cambodia,51,+14,,,1,50,,3
92,Oman,48,,,,13,35,,9
93,Palestine,48,+1,,,17,31,,9
94,Senegal,47,+11,,,5,42,,3
95,Guadeloupe,45,+12,,,,45,,112
96,Azerbaijan,44,,1,,7,36,,4
97,Georgia,44,+4,,,1,43,1,11
98,Ukraine,41,+15,3,,1,37,,0.9
99,Burkina Faso,40,+7,1,,4,35,,2
100,Uzbekistan,33,+10,,,,33,,1.0
101,Martinique,32,+9,1,,,31,7,85
102,Liechtenstein,28,,,,,28,,734
103,Réunion,28,,,,,28,,31
104,Afghanistan,24,+2,,,1,23,,0.6
105,Honduras,24,+12,,,,24,,2
106,Cuba,21,+10,1,,,20,,2
107,Bangladesh,20,+2,1,,3,16,1,0.1
108,Cameroon,20,+7,,,2,18,,0.8
109,Jamaica,19,+4,1,,2,16,,6
110,DRC,18,+4,,,,18,,0.2
111,Paraguay,18,+5,,,,18,1,3
112,Macao,17,,,,10,7,,26
113,Rwanda,17,+6,,,,17,,1
114,Bolivia,16,+1,,,,16,,1
115,Ghana,16,+5,,,,16,,0.5
116,Guyana,15,+10,1,,,14,,19
117,French Guiana,15,,,,,15,,50
118,Guam,14,+2,,,,14,,83
119,Montenegro,14,+1,,,,14,,22
120,Puerto Rico,14,+8,,,,14,,5
121,Maldives,13,,,,2,11,,24
122,Guatemala,12,+3,1,,,11,,0.7
123,Nigeria,12,,,,1,11,,0.06
124,Channel Islands,12,+1,,,,12,,69
125,Mauritius,12,+5,,,,12,,9
126,Monaco,11,+1,,,,11,,280
127,French Polynesia,11,+5,,,,11,,39
128,Gibraltar,10,,,,2,8,,297
129,Ivory Coast,9,,,,1,8,,0.3
130,Ethiopia,9,+2,,,,9,,0.08
131,Togo,9,+8,,,,9,,1
132,Trinidad and Tobago,9,,,,,9,,6
133,Kenya,7,,,,,7,,0.1
134,Seychelles,7,+1,,,,7,,71
135,Barbados,6,+1,,,,6,,21
136,Equatorial Guinea,6,,,,,6,,4
137,Kyrgyzstan,6,+3,,,,6,,0.9
138,Mayotte,6,+2,,,,6,,22
139,Mongolia,6,,,,,6,,2
140,Tanzania,6,,,,,6,,0.1
141,Aruba,5,,,,1,4,,47
142,Gabon,4,+1,1,+1,,3,,2
143,Bahamas,4,+1,,,,4,,10
144,Saint Martin,4,+1,,,,4,,103
145,Suriname,4,+3,,,,4,,7
146,Cayman Islands,3,,1,,,2,,46
147,Curaçao,3,,1,,,2,,18
148,CAR,3,+2,,,,3,,0.6
149,Congo,3,,,,,3,,0.5
150,Madagascar,3,+3,,,,3,,0.1
151,Namibia,3,,,,,3,,1
152,St. Barth,3,,,,,3,,304
153,U.S. Virgin Islands,3,,,,,3,,29
154,Sudan,2,,1,,,1,,0.05
155,Benin,2,,,,,2,,0.2
156,Bermuda,2,,,,,2,,32
157,Bhutan,2,+1,,,,2,,3
158,Greenland,2,,,,,2,,35
159,Guinea,2,+1,,,,2,,0.2
160,Haiti,2,+2,,,,2,,0.2
161,Isle of Man,2,+1,,,,2,,24
162,Liberia,2,,,,,2,,0.4
163,Mauritania,2,,,,,2,,0.4
164,New Caledonia,2,,,,,2,,7
